98104,50456
98104,51682
98312,51682
98312,52884
97889,52884
97889,54111
97979,54111
97979,55268
97347,55268
97347,56539
97728,56539
97728,57760
97634,57760
97634,58855
96847,58855
96847,60054
96679,60054
96679,61317
96751,61317
96751,62586
96779,62586
96779,63752
96395,63752
96395,64679
95280,64679
95280,65794
94816,65794
94816,66941
94445,66941
94445,68200
94338,68200
94338,69277
93771,69277
93771,70433
93383,70433
93383,71649
93097,71649
93097,72514
92124,72514
92124,73908
92128,73908
92128,74881
91366,74881
91366,75816
90556,75816
90556,77045
90201,77045
90201,78002
89430,78002
89430,78599
88182,78599
88182,79520
87399,79520
87399,80559
86761,80559
86761,81707
86234,81707
86234,82852
85677,82852
85677,83216
84286,83216
84286,84523
83875,84523
83875,85175
82807,85175
82807,86225
82109,86225
82109,86455
80700,86455
80700,87396
79907,87396
79907,88523
79239,88523
79239,88608
77791,88608
77791,90057
77320,90057
77320,90614
76218,90614
76218,90938
74981,90938
74981,91390
73839,91390
73839,92492
73061,92492
73061,92728
71806,92728
71806,93192
70681,93192
70681,93612
69540,93612
69540,93869
68335,93869
68335,94860
67428,94860
67428,95450
66344,95450
66344,95561
65092,95561
65092,96190
64012,96190
64012,96557
62845,96557
62845,96354
61534,96354
61534,96724
60376,96724
60376,97292
59252,97292
59252,97350
58024,97350
58024,97559
56825,97559
56825,97603
55604,97603
55604,97509
54376,97509
54376,98061
53202,98061
53202,97581
51961,97581
51961,97707
50756,97707
50756,98026
49544,98026
49544,98380
48314,98380
48314,98227
47095,98227
47095,97618
45919,97618
45919,98128
44644,98128
44644,97803
43450,97803
43450,97621
42241,97621
42241,97087
41098,97087
41098,96683
39944,96683
39944,96469
38751,96469
38751,96632
37453,96632
37453,96378
36252,96378
36252,95483
35254,95483
35254,94954
34156,94954
34156,94404
33073,94404
33073,94546
31714,94546
31714,93978
30631,93978
30631,93390
29563,93390
29563,93229
28284,93229
28284,92645
27206,92645
27206,91900
26221,91900
26221,91253
25185,91253
25185,90811
24021,90811
24021,89872
23176,89872
23176,89512
21938,89512
21938,88719
20998,88719
20998,87815
20150,87815
20150,86963
19272,86963
19272,86165
18352,86165
18352,85528
17284,85528
17284,84748
16335,84748
16335,83931
15419,83931
15419,82569
15079,82569
15079,81665
14276,81665
14276,80794
13433,80794
13433,80179
12263,80179
12263,79292
11406,79292
11406,77937
11188,77937
11188,76824
10670,76824
10670,76099
9568,76099
9568,75261
8602,75261
8602,74150
8069,74150
8069,72946
7719,72946
7719,71739
7402,71739
7402,70773
6615,70773
6615,69626
6195,69626
6195,68452
5849,68452
5849,67455
5069,67455
5069,66396
4405,66396
4405,64993
4738,64993
4738,63872
4270,63872
4270,62863
3376,62863
3376,61577
3472,61577
3472,60301
3613,60301
3613,59225
2845,59225
2845,57979
2910,57979
2910,56874
2093,56874
2093,55591
2510,55591
2510,54423
1976,54423
1976,53197
2014,53197
2014,51986
1803,51986
1803,50759
2071,50759
2071,50422
94525,50422
94525,48322
1837,48322
1837,47110
2012,47110
2012,45933
2546,45933
2546,44668
2091,44668
2091,43511
2641,43511
2641,42343
3004,42343
3004,41061
2713,41061
2713,39923
3219,39923
3219,38729
3438,38729
3438,37533
3664,37533
3664,36495
4439,36495
4439,35067
3938,35067
3938,34028
4682,34028
4682,32944
5256,32944
5256,31872
5839,31872
5839,30662
6090,30662
6090,29497
6471,29497
6471,28397
6996,28397
6996,27560
8016,27560
8016,26143
7963,26143
7963,25366
9046,25366
9046,24081
9282,24081
9282,23477
10574,23477
10574,22460
11221,22460
11221,21442
11872,21442
11872,20301
12374,20301
12374,19002
12711,19002
12711,18141
13593,18141
13593,17349
14542,17349
14542,16798
15728,16798
15728,15635
16281,15635
16281,14616
16998,14616
16998,14349
18399,14349
18399,13304
19097,13304
19097,12802
20251,12802
20251,11411
20711,11411
20711,10870
21833,10870
21833,10180
22841,10180
22841,9583
23909,9583
23909,9278
25150,9278
25150,8724
26226,8724
26226,8160
27293,8160
27293,7653
28388,7653
28388,6269
29061,6269
29061,6011
30291,6011
30291,5560
31426,5560
31426,5042
32534,5042
32534,4669
33698,4669
33698,4250
34845,4250
34845,3710
35957,3710
35957,4163
37353,4163
37353,2968
38297,2968
38297,3311
39631,3311
